distance,sigma_reference_median,sigma_multiplier,sigma,k,jaccard_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,4,0.1848348813814173,0.8484510274283374,0.08400253878426439,True,188,492,1267,"[1267, 936, 1056, 492]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,4,0.1848348813814173,0.8186675130501256,0.016069768779418358,True,188,492,1267,"[1056, 1267, 936, 492]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,4,0.1847465464731324,0.808852052018602,0.003498827469362066,True,188,493,1267,"[935, 1267, 1056, 493]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,5,0.17435737974690727,0.7569791038617314,0.023756595693742583,True,188,343,1264,"[1264, 1056, 594, 494, 343]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,5,0.1692619284789191,0.6875326823922916,0.007196812553429136,True,188,494,1100,"[603, 1100, 1056, 494, 498]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,5,0.16918172075489196,0.6717408394681748,0.0017019298807733384,True,188,494,1093,"[1093, 501, 1056, 494, 607]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,3,0.16465339593632541,0.691827205185983,0.041627035908279014,True,188,1056,1428,"[1267, 1428, 1056]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,3,0.16465339593632541,0.7453421932381911,0.013770024300212555,True,188,1056,1428,"[1056, 1267, 1428]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,3,0.16465339593632541,0.7525245764792339,0.0038146488935130052,True,188,1056,1428,"[1267, 1056, 1428]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,2,0.1618335495347653,0.8920083359586434,0.10446272003780643,True,188,1428,2323,"[1428, 2323]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,2,0.1618335495347653,0.8827408035532643,0.032726873744494824,True,188,1428,2323,"[2323, 1428]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,2,0.1618335495347653,0.8797659678662005,0.008390451571459125,True,188,1428,2323,"[1428, 2323]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,7,0.13882286026146404,0.4968185863147278,0.0012195265058173362,True,188,296,1045,"[296, 436, 1045, 332, 494, 547, 601]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,7,0.13863093586498762,0.48115303205838483,0.0003707697780018977,True,188,297,1043,"[432, 1043, 494, 330, 297, 603, 552]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,6,0.1376697578609542,0.5797597153731259,0.0016495964639257638,True,188,331,1056,"[1056, 619, 331, 494, 603, 648]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,6,0.13740992053672468,0.559861723956802,0.00032340027775988557,True,188,332,1056,"[1056, 604, 612, 494, 653, 332]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,8,0.1372110184018101,0.4442245946846243,0.0007496715713646036,True,188,286,863,"[286, 426, 584, 381, 863, 569, 328, 314]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,8,0.12537526196994414,0.43941891269318095,0.00020238505658556026,True,188,287,833,"[494, 833, 580, 404, 287, 393, 328, 432]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,8,0.12442978803451928,0.5565515592296999,0.00540725503260768,True,188,291,1056,"[1056, 568, 383, 328, 365, 291, 352, 408]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,7,0.12196223674310812,0.6203642515963611,0.005045720523715325,True,188,328,1056,"[593, 1056, 383, 368, 328, 349, 674]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,6,0.1775772388852304,0.7232376196208122,0.02273580566766925,False,188,116,1242,"[1056, 1242, 592, 378, 367, 116]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,9,0.1473411645065879,0.4736836158478271,0.0018378233296182812,False,188,134,874,"[567, 874, 327, 425, 378, 299, 574, 173, 134]"
asymmetric_jaccard,0.8130081295967102,1.0,0.8130081295967102,10,0.14558683562808042,0.45172027357620653,0.000596858151971788,False,188,134,840,"[569, 840, 388, 378, 338, 325, 337, 269, 134, 173]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,9,0.14112432668997607,0.4529578455175435,0.00035352773299358333,False,188,173,858,"[858, 430, 385, 326, 309, 405, 586, 173, 279]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,10,0.13836450350123425,0.5728655973992078,0.004838353647718695,False,188,115,883,"[565, 173, 342, 379, 431, 327, 265, 271, 115, 883]"
asymmetric_jaccard,0.8130081295967102,2.0,1.6260162591934204,10,0.1373233927356674,0.4231861074787971,0.0001953476813114105,False,188,173,845,"[268, 845, 324, 335, 378, 514, 335, 173, 389, 190]"
asymmetric_jaccard,0.8130081295967102,0.5,0.4065040647983551,9,0.1313752026428758,0.5445226297471213,0.006911857573025995,False,188,173,883,"[356, 883, 409, 383, 567, 327, 291, 362, 173]"
