distance,sigma_reference_median,sigma_multiplier,sigma,k,numeric_gower_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,4,0.027540465218198033,0.39186105944998584,0.005371856022361218,True,188,809,1053,"[809, 970, 1053, 919]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,5,0.024372267045837438,0.30225209225207916,0.002677819740468419,True,188,488,941,"[941, 802, 641, 488, 879]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,3,0.003748941116570491,0.5776215747271158,0.0035484037903483895,True,188,1170,1363,"[1170, 1218, 1363]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,6,-0.0006488677281069949,0.29290088878819664,0.0036168699295038784,True,188,472,718,"[679, 579, 667, 472, 718, 636]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,10,-0.002261019810270481,0.18939452825420813,0.0002614046154277537,True,188,255,536,"[293, 283, 387, 324, 455, 536, 308, 255, 414, 496]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,8,-0.003908774756135087,0.22472641435250468,0.001910033454008842,True,188,359,696,"[449, 390, 517, 696, 487, 424, 429, 359]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,7,-0.009545404559960065,0.23791469930687575,0.001961495919747947,True,188,429,666,"[458, 429, 536, 593, 666, 496, 573]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,10,-0.013167792244590948,0.29479701363906735,0.013924330649819579,True,188,277,442,"[419, 395, 303, 277, 318, 386, 408, 442, 435, 368]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,9,-0.017811235194878566,0.19788277625483175,0.0020057793199998643,True,188,296,592,"[529, 296, 513, 305, 414, 374, 592, 359, 369]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,9,-0.022762983690608387,0.36287767272051863,0.01752065607393205,True,188,333,465,"[420, 446, 399, 430, 383, 413, 333, 465, 462]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,2,0.8761934813018389,0.9999043398860458,0.32800031500339877,False,188,2,3749,"[3749, 2]"
numeric_gower_mean_l1,0.04317566007375717,2.0,0.08635132014751434,2,0.858683276265221,0.9995236415066231,0.7936923908921398,False,188,3,3748,"[3748, 3]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,2,0.7624667251546029,0.9978839540276273,4.9324107047055143e-05,False,188,18,3733,"[3733, 18]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,3,0.731699001605636,0.9951668039187677,0.001365637805545994,False,188,10,3725,"[3725, 16, 10]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,3,0.7240428394846777,0.9979507338155769,0.2217673045798686,False,188,2,3731,"[3731, 18, 2]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,4,0.7059067703912382,0.9957685095961415,0.2425826661825591,False,188,2,3730,"[3730, 14, 5, 2]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,5,0.6845771421013614,0.991092517575648,0.08056286046531463,False,188,2,3729,"[3729, 12, 6, 2, 2]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,5,0.6259446988260773,0.9921950067812418,0.012625999347760763,False,188,4,3711,"[3711, 21, 11, 4, 4]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,4,0.625858345076127,0.9923897259555785,0.0030638517029106804,False,188,6,3718,"[3718, 16, 11, 6]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,6,0.623347388377911,0.9906604450178619,0.08294588805340464,False,188,4,3711,"[3711, 11, 12, 4, 9, 4]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,7,0.5126940272364778,0.9833719674436959,0.02794730781160437,False,188,4,3695,"[3695, 16, 9, 12, 7, 8, 4]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,8,0.5107980638103523,0.9840152506547672,0.0486679278215868,False,188,4,3697,"[3697, 8, 16, 6, 11, 4, 5, 4]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,9,0.319520506523268,0.9522572596196057,0.002839038603912769,False,188,5,3624,"[3624, 32, 16, 46, 6, 8, 7, 7, 5]"
numeric_gower_mean_l1,0.04317566007375717,0.5,0.021587830036878586,10,0.3144944284771199,0.9376798279114783,0.18425609534384735,False,188,4,3572,"[3572, 38, 32, 8, 16, 45, 6, 12, 4, 18]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,7,0.19495592236000966,0.4281056621683603,0.03922266292789242,False,188,3,2713,"[2713, 30, 25, 898, 7, 75, 3]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,6,0.13741942607483132,0.533529276793366,0.0038963211820308985,False,188,3,2389,"[2389, 23, 1279, 3, 50, 7]"
numeric_gower_mean_l1,0.04317566007375717,1.0,0.04317566007375717,8,-0.008086939772377783,0.5289690373908703,0.011884763586324343,False,188,21,841,"[744, 713, 412, 841, 435, 21, 561, 24]"
