,seed_11,seed_29,seed_42,seed_71,seed_101,seed_137,seed_173,seed_211,seed_251,seed_307
seed_11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seed_307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
