run,selected_feature_count,retained_variance_in_fixed_components,small_cluster_size,overlap_with_baseline_73,jaccard_with_baseline_73,recall_of_baseline_73,ari_against_baseline_partition
1,486,0.8429819528297737,84,73,0.8690476190476191,1.0,0.9256062806216941
2,486,0.8455280433350225,76,72,0.935064935064935,0.9863013698630136,0.9644233625316141
3,486,0.842537545609722,74,70,0.9090909090909091,0.958904109589041,0.9495822542269643
4,486,0.844516524564379,87,73,0.8390804597701149,1.0,0.9070602219078312
5,486,0.850662741403035,68,68,0.9315068493150684,0.9315068493150684,0.9625262308972625
6,486,0.8482400370588952,74,72,0.96,0.9863013698630136,0.9783693096202681
7,486,0.8494587962801815,76,73,0.9605263157894737,1.0,0.9786426208385194
8,486,0.8463429576723844,79,73,0.9240506329113924,1.0,0.9581122289929709
9,486,0.846921405847359,104,73,0.7019230769230769,1.0,0.8136461925374955
10,486,0.8489670834653411,78,73,0.9358974358974359,1.0,0.9648667896298254
11,486,0.8443156890494793,55,55,0.7534246575342466,0.7534246575342466,0.8527265493692691
12,486,0.8514597793163782,78,73,0.9358974358974359,1.0,0.9648667896298254
13,486,0.8426490118985517,81,73,0.9012345679012346,1.0,0.9448613214509467
14,486,0.842701762512281,83,73,0.8795180722891566,1.0,0.9319438694738692
15,486,0.8458983903304417,96,73,0.7604166666666666,1.0,0.8553048696093111
16,486,0.8448241110997247,66,66,0.9041095890410958,0.9041095890410958,0.9468542674811217
17,486,0.8467595138511982,62,62,0.8493150684931506,0.8493150684931506,0.9142468411801772
18,486,0.8459680204612222,74,73,0.9864864864864865,1.0,0.9927859223653509
19,486,0.8465501821255774,78,73,0.9358974358974359,1.0,0.9648667896298254
20,486,0.8517772887911251,79,72,0.9,0.9863013698630136,0.944179465285515
