row_cluster,column_cluster,n_rows,n_features,volume,one_count,one_density,activity_0_count,activity_1_count,activity_1_fraction
3,3,171,100,17100,9533,0.557485380116959,58,113,0.6608187134502924
0,0,1267,157,198919,92157,0.46328907746369125,546,721,0.569060773480663
2,2,1428,55,78540,34651,0.44118920295390884,744,684,0.4789915966386555
1,0,885,157,138945,57181,0.41153693907661304,369,516,0.5830508474576271
3,1,171,290,49590,18194,0.3668884855817705,58,113,0.6608187134502924
3,0,171,157,26847,9750,0.3631690691697396,58,113,0.6608187134502924
3,2,171,55,9405,3370,0.35832004253056887,58,113,0.6608187134502924
1,1,885,290,256650,91021,0.35465030196766023,369,516,0.5830508474576271
1,2,885,55,48675,15414,0.3166718027734977,369,516,0.5830508474576271
0,2,1267,55,69685,21460,0.3079572361340317,546,721,0.569060773480663
2,0,1428,157,224196,31489,0.14045299648521828,744,684,0.4789915966386555
0,1,1267,290,367430,15421,0.04196989902838636,546,721,0.569060773480663
1,3,885,100,88500,119,0.001344632768361582,369,516,0.5830508474576271
2,1,1428,290,414120,48,0.00011590843233845262,744,684,0.4789915966386555
0,3,1267,100,126700,0,0.0,546,721,0.569060773480663
2,3,1428,100,142800,0,0.0,744,684,0.4789915966386555
